Disrupted File Inventory ID,Total Time Taken,Total PNR,Default Solution,Exception Solution,Number of Paths,Anneling Time
INV-ZZ-1206499,34.31302047,52,50,2,4,
INV-ZZ-4345508,27.7134366,26,26,0,5,
INV-ZZ-3041946,21.52380252,39,38,1,11,
INV-ZZ-3882771,35.36742353,69,66,3,4,
INV-ZZ-1686166,30.10062408,30,30,0,1,
INV-ZZ-2511213,21.35700893,35,33,2,2,
INV-ZZ-8480129,21.44137549,18,18,0,4,
INV-ZZ-5726645,19.44009924,16,16,0,1,
INV-ZZ-6060194,21.41301632,40,33,7,12,
INV-ZZ-1206499,0.2388618,52,39,13,4,
INV-ZZ-4345508,0.2160971,26,26,0,5,
INV-ZZ-3041946,0.2405673,39,39,0,11,
INV-ZZ-3882771,0.2375114,69,58,11,4,
INV-ZZ-1686166,0.1719598,30,30,0,1,
INV-ZZ-2511213,0.2128038,35,27,8,2,
INV-ZZ-8480129,0.1826125,18,18,0,4,
INV-ZZ-5726645,0.1694629,16,16,0,1,
INV-ZZ-6060194,0.2617055,40,19,21,12,
